Job Title,Company Name,Location,Job Type,Category,Salary,Post Date,Deadline,Job URL,Company Logo URL,Location Clean,Min Salary,Max Salary,Average Salary
Data sahəsinin data mühəndisi,ABB,Bakı,Tam-ştat,Digər,Razılaşma ilə,22 aprel 2025,22 may 2025,https://www.hellojob.az/vakansiya/data-sahesinin-data-muhendisi-3796,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Rəqəmsal kanallar sahəsinin back-end üzrə aparıcı proqramçısı / baş proqramçısı,ABB,Bakı,Tam-ştat,Proqramlaşdırma,Razılaşma ilə,22 aprel 2025,22 may 2025,https://www.hellojob.az/vakansiya/reqemsal-kanallar-sahesinin-back-end-uzre-aparici-proqramcisi-bas-proqramcisi-3795,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Back-End Developer,Kapital Bank,"Bakı, Mərkəz filialı, Baku, Azerbaijan",Tam-ştat,Proqramlaşdırma,Razılaşma ilə,22 aprel 2025,30 aprel 2025,https://www.hellojob.az/vakansiya/back-end-developer-3994,https://www.hellojob.az/storage/companies/0b19d066c7eb9fa635850615d2e16921.svg,Bakı,Unknown,Unknown,Unknown
Rəqəmsal (Digital) Marketinq mütəxəssisi,Travacco,"Bakı, Fətəli Xan Xoyski 166B",Tam-ştat,Rəqəmsal marketinq,900 - 1100 AZN,14 aprel 2025,14 may 2025,https://www.hellojob.az/vakansiya/reqemsal-digital-marketinq-mutexessisi-905113,https://www.hellojob.az/resized/companies/cLKZMfyncpYHFtV2vfr6pk1r0CPibJxjbc08bNAj-120--resize.webp,Bakı,900.0,1100.0,1000.0
B2B Satış mütəxəssisi,Web Console Studio,"Bakı, Qara Qarayev pr. 31a",Tam-ştat,Marketinq menecment,500 - 1000 AZN,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/b2b-satis-mutexessisi-1025116,https://www.hellojob.az/resized/companies/e798226e85dfe00f3ca3287f3f74f92e-120--resize.webp,Bakı,500.0,1000.0,750.0
Kredit mütəxəssisi(Samux filialı),Güvənli MMC,Samux,Tam-ştat,Bank xidməti,Razılaşma ilə,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/kredit-mutexessisisamux-filiali,https://www.hellojob.az/storage/companies/1905e2d4ad1b0d81c325e76c60893a2f.svg,Samux,Unknown,Unknown,Unknown
Zərgər(Samux filialı),Güvənli MMC,Samux,Tam-ştat,Bank xidməti,Razılaşma ilə,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/zergersamux-filiali,https://www.hellojob.az/storage/companies/1905e2d4ad1b0d81c325e76c60893a2f.svg,Samux,Unknown,Unknown,Unknown
Əməliyyatçı-xəzinədar(Samux filialı),Güvənli MMC,Samux,Tam-ştat,Bank xidməti,400 AZN,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/emeliyyatci-xezinedarsamux-filiali,https://www.hellojob.az/storage/companies/1905e2d4ad1b0d81c325e76c60893a2f.svg,Samux,400.0,400.0,400.0
Mağaza satıcısı,SEDAD MMC,"Bakı, Məzahir Rüstəmov(Xətai Bələdiyyəsinin yanı)",Tam-ştat,Digər,400 AZN,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/magaza-saticisi-1025750,Unknown,Bakı,400.0,400.0,400.0
Xidmət sahəsi üzrə kiçik mütəxəssis,EDU COMPANY Təhsil Şirkəti,"Bakı, Mətbuat prospekti 31",Tam-ştat,Menecment,Razılaşma ilə,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/xidmet-sahesi-uzre-kicik-mutexessis,Unknown,Bakı,Unknown,Unknown,Unknown
Kassir,M&T LTD,Bakı,Tam-ştat,Digər,400 - 450 AZN,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/kassir-1024267,https://www.hellojob.az/resized/companies/6953aae97b12be5bd5af6d137ce83d91-120--resize.webp,Bakı,400.0,450.0,425.0
Əməliyyatçı-kassir,TAB MMC,"Bakı, Bakı şəh. Nizami ray. Qara Qarayev pr. 102 A “",Tam-ştat,Digər,400 - 500 AZN,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/emeliyyatci-kassir-1024055,Unknown,Bakı,400.0,500.0,450.0
Satıcı-kassir,Sensual Woman Boutique,"Bakı, Park Bulvar AVM",Tam-ştat,Satış üzrə mütəxəssis,500 - 600 AZN,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/satici-kassir-1021524,Unknown,Bakı,500.0,600.0,550.0
Sürücü,GL ASC,"Bakı, Sımıd Vurğun 60",Tam-ştat,Bank xidməti,Razılaşma ilə,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/surucu-1021101,https://www.hellojob.az/resized/companies/f3991333f253dedebd1db28caa46c96a-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Satış üzrə təcrübə proqramı,D-IT MMC,"Bakı, SKS PLAZA",Təcrübəçi,Satış üzrə mütəxəssis,Razılaşma ilə,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/satis-uzre-tecrube-proqrami-1021100,https://www.hellojob.az/resized/companies/71778d5d50b73ad1723311d963bd638c-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Direktor köməkçisi,İdeal Kredit,"Bakı, Süleyman Sani Axundov küçəsi",Tam-ştat,Heyətin idarəolunması,Razılaşma ilə,21 aprel 2025,21 may 2025,https://www.hellojob.az/vakansiya/direktor-komekcisi-1016466,Unknown,Bakı,Unknown,Unknown,Unknown
Credit Risk Analyst,Kapital Bank,"Bakı, Mərkəz filialı, Azərbaycan, Bakı şəhəri",Tam-ştat,Kredit mütəxəssisi,Razılaşma ilə,21 aprel 2025,31 may 2025,https://www.hellojob.az/vakansiya/credit-risk-analyst-4592,https://www.hellojob.az/storage/companies/0b19d066c7eb9fa635850615d2e16921.svg,Bakı,Unknown,Unknown,Unknown
Anbardar köməkçisi,ABV,Bakı,Tam-ştat,Anbardar,700 - 900 AZN,20 aprel 2025,20 may 2025,https://www.hellojob.az/vakansiya/anbardar-komekcisi-992281,https://www.hellojob.az/resized/companies/32438928ab8d861f4166a8371bb6a077-120--resize.webp,Bakı,700.0,900.0,800.0
Korporativ satış meneceri,ABV,Bakı,Tam-ştat,Satış üzrə mütəxəssis,Razılaşma ilə,20 aprel 2025,20 may 2025,https://www.hellojob.az/vakansiya/korporativ-satis-meneceri,https://www.hellojob.az/resized/companies/32438928ab8d861f4166a8371bb6a077-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Mühasib-Operator,ABV,Bakı,Tam-ştat,Mühasibat,500 - 700 AZN,20 aprel 2025,20 may 2025,https://www.hellojob.az/vakansiya/muhasib-operator-991850,https://www.hellojob.az/resized/companies/32438928ab8d861f4166a8371bb6a077-120--resize.webp,Bakı,500.0,700.0,600.0
NON-CCTV kiçik mütəxəssis / mütəxəssis (İT üzrə),ABV,Bakı,Tam-ştat,Digər,Razılaşma ilə,20 aprel 2025,20 may 2025,https://www.hellojob.az/vakansiya/non-cctv-kicik-mutexessis-mutexessis-it-uzre-991635,https://www.hellojob.az/resized/companies/32438928ab8d861f4166a8371bb6a077-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Montajçı,ABV,Bakı,Tam-ştat,Digər,Razılaşma ilə,20 aprel 2025,20 may 2025,https://www.hellojob.az/vakansiya/montajci-991634,https://www.hellojob.az/resized/companies/32438928ab8d861f4166a8371bb6a077-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Kassir,ABV,Bakı,Tam-ştat,Digər,600 - 800 AZN,20 aprel 2025,20 may 2025,https://www.hellojob.az/vakansiya/kassir-991633,https://www.hellojob.az/resized/companies/32438928ab8d861f4166a8371bb6a077-120--resize.webp,Bakı,600.0,800.0,700.0
Kateqoriya meneceri,ABV,Bakı,Tam-ştat,Digər,Razılaşma ilə,20 aprel 2025,20 may 2025,https://www.hellojob.az/vakansiya/kateqoriya-meneceri-991632,https://www.hellojob.az/resized/companies/32438928ab8d861f4166a8371bb6a077-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Online satış meneceri,Esshopbaku,"Bakı, Azadlig pr 19",Yarım-ştat,Satış üzrə mütəxəssis,Razılaşma ilə,19 aprel 2025,19 may 2025,https://www.hellojob.az/vakansiya/online-satis-meneceri-960501,Unknown,Bakı,Unknown,Unknown,Unknown
İngilis dili müəllimi Memar Əcəmi filialı,British Centre Memar Əcəmi Filialı,"Bakı, Asif Məhərrəmov 33A",Tam-ştat,Xüsusi təhsil/ Təlim,800 - 1000 AZN,19 aprel 2025,19 may 2025,https://www.hellojob.az/vakansiya/ingilis-dili-muellimi-memar-ecemi-filiali,Unknown,Bakı,800.0,1000.0,900.0
Satış mütəxəssisi,Qbit Technologies,"Bakı, BAKU, Caspian Plaza",Tam-ştat,Satış üzrə mütəxəssis,300 - 1000 AZN,19 aprel 2025,19 may 2025,https://www.hellojob.az/vakansiya/satis-mutexessisi-959636,Unknown,Bakı,300.0,1000.0,650.0
Satış məsləhətçisi,Lumiere Baku,"Bakı, Koroğlu Bravo Hipermarket Daxili, Heydər Əliyev pr 172",Yarım-ştat,Digər,300 - 400 AZN,19 aprel 2025,19 may 2025,https://www.hellojob.az/vakansiya/satis-meslehetcisi-957264,https://www.hellojob.az/resized/companies/WiFUFadGm6Bx9LWvUO7QYpl35MBOmeTuCMzT8Niq-120--resize.webp,Bakı,300.0,400.0,350.0
Mühəndis,Asvent MMC,"Bakı, Nerimanov rayonu Cermet qəsəbəsi",Tam-ştat,Digər,Razılaşma ilə,19 aprel 2025,19 may 2025,https://www.hellojob.az/vakansiya/muhendis,Unknown,Bakı,Unknown,Unknown,Unknown
Fiziki kanallar və əməliyyat sahəsinin front-end üzrə proqramçısı,ABB,Bakı,Tam-ştat,Proqramlaşdırma,Razılaşma ilə,19 aprel 2025,19 may 2025,https://www.hellojob.az/vakansiya/fiziki-kanallar-ve-emeliyyat-sahesinin-front-end-uzre-proqramcisi-3793,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Ümumi İngilis dili müəllimi (Sumqayıt Ofisi),IELTS Academy,"Sumqayıt, Sumgait; Sumgait Business Center; 6/607",Tam-ştat,Xüsusi təhsil/ Təlim,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/umumi-ingilis-dili-muellimi-sumqayit-ofisi,https://www.hellojob.az/resized/companies/92b05f653164afe3f55d8240e9abd912-120--resize.webp,Sumqayıt,Unknown,Unknown,Unknown
Anbardar,Real Beauty,Bakı,Tam-ştat,Anbardar,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/anbardar-931941,https://www.hellojob.az/resized/companies/495836a85f619f29820a8736f2c54bed-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Satınalma meneceri,AMOGROUP,"Bakı, Xətai pr 34",Tam-ştat,Digər,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/satinalma-meneceri-929996,Unknown,Bakı,Unknown,Unknown,Unknown
Kredit mütəxəssisi,Kəpəz Bokt MMC,Bakı,Tam-ştat,Kredit mütəxəssisi,500 - 1000 AZN,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/kredit-mutexessisi,https://www.hellojob.az/resized/companies/9qhQcFShUaUPbFBCK0PkIyn1WR0De71mBAWnVQqX-120--resize.webp,Bakı,500.0,1000.0,750.0
Satış Meneceri,Bebiko MMC,"Sumqayıt, Yaşıl Dərə,Hafiz Baxış küçəsi",Uzaqdan,Satış üzrə mütəxəssis,400 - 1000 AZN,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/satis-meneceri-923733,Unknown,Sumqayıt,400.0,1000.0,700.0
TikTok Canlı Yayım üzrə Satış Meneceri,VEN GROUP MMC,"Bakı, Rəşid Bağırov 33",Tam-ştat,Satış üzrə mütəxəssis,Razılaşma ilə,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/tiktok-canli-yayim-uzre-satis-meneceri,Unknown,Bakı,Unknown,Unknown,Unknown
Əczaçı,"""AzəriMed"" QSC",Bakı,Tam-ştat,Tibb təmsilçisi,400 - 600 AZN,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/eczaci-921583,https://www.hellojob.az/resized/companies/KkVZV0CBn26Yi4brfuBg9ixjm8kOa1jGwQSbLhJF-120--resize.webp,Bakı,400.0,600.0,500.0
Regyon Üzrə Satış təmsilçisi,Borkan Group,"Bakı, ZİYA BÜNYADOV 69B",Tam-ştat,Satış üzrə mütəxəssis,1000 AZN,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/regyon-uzre-satis-temsilcisi-921367,https://www.hellojob.az/resized/companies/e118db029f54fbc1687cc5a517a195de-120--resize.webp,Bakı,1000.0,1000.0,1000.0
Müqavilələr və bank əməliyyatlarına hüquqi dəstək şöbəsi üzrə hüquqşünas,ABB,Bakı,Tam-ştat,Hüquq,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/muqavileler-ve-bank-emeliyyatlarina-huquqi-destek-sobesi-uzre-huquqsunas-3792,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Şəbəkə və əməliyyatların təhlükəsizliyi arxitekturası üzrə baş mütəxəssis,ABB,Bakı,Tam-ştat,Texnologiya,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/sebeke-ve-emeliyyatlarin-tehlukesizliyi-arxitekturasi-uzre-bas-mutexessis-3791,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Əməliyyat risklərinin idarə edilməsi şöbəsinin aparıcı mütəxəssisi/ baş mütəxəssisi,ABB,Bakı,Tam-ştat,Müxtəlif,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/emeliyyat-risklerinin-idare-edilmesi-sobesinin-aparici-mutexessisi-bas-mutexessisi-3790,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Rəqəmsal dələduzluq analitikası üzrə data analitik / aparıcı data analitik,ABB,Bakı,Tam-ştat,Texnologiya,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/reqemsal-deleduzluq-analitikasi-uzre-data-analitik-aparici-data-analitik-3789,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Rəqəmsal dələduzluq risk və insidentləri üzrə mütəxəssis / aparıcı /  baş mütəxəssis,ABB,Bakı,Tam-ştat,Müxtəlif,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/reqemsal-deleduzluq-risk-ve-insidentleri-uzre-mutexessis-aparici-bas-mutexessis-3788,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Məlumat xidməti üzrə kiçik mütəxəssis/Ağstafa filialı,Kapital Bank,"Ağstafa, Ağstafa rayon filialı, Аğstаfа şəhəri, Cəfər Cabbarlı küçəsi, 25A",Tam-ştat,Xidmət,Razılaşma ilə,18 aprel 2025,30 aprel 2025,https://www.hellojob.az/vakansiya/melumat-xidmeti-uzre-kicik-mutexessis-agstafa-filiali-4585,https://www.hellojob.az/storage/companies/0b19d066c7eb9fa635850615d2e16921.svg,Ağstafa,Unknown,Unknown,Unknown
Məlumat xidməti üzrə kiçik mütəxəssis/Göyçay filialı,Kapital Bank,"Göyçay, Göygöl rayon filialı, Göygöl şəhəri, H.Əliyеv küçəsi 45",Tam-ştat,Xidmət,Razılaşma ilə,18 aprel 2025,30 aprel 2025,https://www.hellojob.az/vakansiya/melumat-xidmeti-uzre-kicik-mutexessis-goycay-filiali-4584,https://www.hellojob.az/storage/companies/0b19d066c7eb9fa635850615d2e16921.svg,Göyçay,Unknown,Unknown,Unknown
QA Automation Engineer (Employee Experience Tribe),Kapital Bank,Bakı,Tam-ştat,Texnologiya,Razılaşma ilə,18 aprel 2025,18 may 2025,https://www.hellojob.az/vakansiya/qa-automation-engineer-employee-experience-tribe-4261,https://www.hellojob.az/storage/companies/0b19d066c7eb9fa635850615d2e16921.svg,Bakı,Unknown,Unknown,Unknown
Operator,GOLD MMC,"Bakı, Neftçilər m/st yaxınlığı",Tam-ştat,Ofis menecmenti,500 AZN,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/operator-905155,Unknown,Bakı,500.0,500.0,500.0
Hüquqşünas,Ferrum Capital QSC,"Bakı, BAKI ŞƏHƏRİ, XƏTAİ RAYONU, Xocalı prospekti",Tam-ştat,Hüquqşünas,500 - 1200 AZN,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/huquqsunas,https://www.hellojob.az/resized/companies/f1caaad4868f8354b8572b70d87a4fd3-120--resize.webp,Bakı,500.0,1200.0,850.0
Rəqəmsal marketinq şöbəsinin Baş dizayneri/ Aparıcı dizayneri,ABB,Bakı,Tam-ştat,Dizayn,Razılaşma ilə,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/korporativ-kreditlerin-tehlili-sobesinin-mutexessisi-3615,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Yanğın mühafizə-siqnalizasiya sitemləri üzrə mütəxəssis/aparıcı mütəxəssis,ABB,Bakı,Tam-ştat,Xidmət,Razılaşma ilə,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/yangin-muhafize-siqnalizasiya-sitemleri-uzre-mutexessis-aparici-mutexessis-3570,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Kredit risklərinin idarə edilməsi şöbəsinin mütəxəssisi / aparıcı mütəxəssisi,ABB,Bakı,Tam-ştat,Kredit mütəxəssisi,Razılaşma ilə,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/kredit-risklerinin-idare-edilmesi-sobesinin-mutexessisi-aparici-mutexessisi-3566,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Rəqəmsal kiçik biznes sahəsinin müştəri təcrübələri üzrə mütəxəssis/aparıcı/baş mütəxəssis (RM),ABB,Bakı,Tam-ştat,Texnologiya,Razılaşma ilə,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/reqemsal-kicik-biznes-sahesinin-musteri-tecrubeleri-uzre-mutexessis-aparici-bas-mutexessis-rm-3414,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Rəqəmsal kanallar sahəsinin IOS üzrə proqramçısı / aparıcı proqramçısı / baş proqramıçısı,ABB,Bakı,Tam-ştat,Texnologiya,Razılaşma ilə,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/reqemsal-kanallar-sahesinin-ios-uzre-proqramcisi-aparici-proqramcisi-bas-proqramicisi-3719,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Data Transformation Analyst (Data Steward),Kapital Bank,Bakı,Tam-ştat,Texnologiya,Razılaşma ilə,17 aprel 2025,30 aprel 2025,https://www.hellojob.az/vakansiya/data-transformation-analyst-data-steward-4441,https://www.hellojob.az/storage/companies/0b19d066c7eb9fa635850615d2e16921.svg,Bakı,Unknown,Unknown,Unknown
Promouter Xanım namizədlər (tütün isitmə sistemi),Around Business Group,"Bakı, Nəriman Nərimanov",Tam-ştat,Satış üzrə mütəxəssis,540 - 900 AZN,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/promouter-xanim-namizedler-tutun-isitme-sistemi,Unknown,Bakı,540.0,900.0,720.0
Call-Center Operator,Rachmat Agro,"Bakı, Yasamal",Uzaqdan,Satış üzrə mütəxəssis,600 - 800 AZN,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/call-center-operator-905151,Unknown,Bakı,600.0,800.0,700.0
İnzibatçı,"""AGNA""MMC","Bakı, Bakı şəh., Mərkəz",Tam-ştat,Katibə / Resepşn,600 - 800 AZN,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/inzibatci-905150,Unknown,Bakı,600.0,800.0,700.0
Sosial Media Marketinq (SMM) mütəxəssisi,Paradise Music,"Bakı, MƏZAHİR RÜSTƏMOV 191E(ƏHMƏDLİ metrosundan 10 dəqiqə)",Tam-ştat,SMM,500 - 1000 AZN,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/sosial-media-marketinq-smm-mutexessisi-905149,https://www.hellojob.az/resized/companies/bc63f17b004c9efb27cc7f9b69bf742c-120--resize.webp,Bakı,500.0,1000.0,750.0
Project Manager,King Entertainment Corp,Bakı,Uzaqdan,Digər,Razılaşma ilə,17 aprel 2025,17 may 2025,https://www.hellojob.az/vakansiya/project-manager-905146,Unknown,Bakı,Unknown,Unknown,Unknown
Lux Life Group,Lux Life Group,"Bakı, Yeni Yasamal,Icra hakimiyyətinin yanı",Yarım-ştat,Digər,500 - 2000 AZN,01 aprel 2025,01 may 2025,https://www.hellojob.az/vakansiya/lux-life-group,Unknown,Bakı,500.0,2000.0,1250.0
Senior qrafik dizayner,Adroit agency,Bakı,Tam-ştat,Qrafik dizayn,1200 - 1500 AZN,16 aprel 2025,16 may 2025,https://www.hellojob.az/vakansiya/senior-qrafik-dizayner-905145,https://www.hellojob.az/resized/companies/3ce2d9bd93580c7a386d062f135defa9-120--resize.webp,Bakı,1200.0,1500.0,1350.0
Sosial Media Marketinq (SMM) mütəxəssisi,Dost İnşaat MMC,"Bakı, Çinar Park Biznes Mərkəzi",Tam-ştat,Satış üzrə mütəxəssis,800 - 1000 AZN,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/sosial-media-marketinq-smm-mutexessisi-905040,https://www.hellojob.az/resized/companies/f90a62f2938023f2f1ef563a49bfb9e9-120--resize.webp,Bakı,800.0,1000.0,900.0
Ofis meneceri,TAMASHAEE FOODS MMC,"Bakı, Binəqədi rayonu Xocahəsən qəsəbəsi Yeni Yol 202",Tam-ştat,Ofis menecmenti,800 - 1000 AZN,16 aprel 2025,16 may 2025,https://www.hellojob.az/vakansiya/ofis-meneceri-905144,https://www.hellojob.az/resized/companies/9b43635192d65d7b6d0b1ca952653724-120--resize.webp,Bakı,800.0,1000.0,900.0
İnsan Resursları üzrə mütəxəssis,TAMASHAEE FOODS MMC,"Bakı, Binəqədi rayonu Xocahəsən qəsəbəsi Yeni Yol 202",Tam-ştat,İnsan resursları,700 - 1000 AZN,16 aprel 2025,16 may 2025,https://www.hellojob.az/vakansiya/insan-resurslari-uzre-mutexessis-905143,https://www.hellojob.az/resized/companies/9b43635192d65d7b6d0b1ca952653724-120--resize.webp,Bakı,700.0,1000.0,850.0
Kateqoriya meneceri,Beauty House MMC,"Bakı, Ayna sultanova",Tam-ştat,Menecer,900 - 1800 AZN,16 aprel 2025,16 may 2025,https://www.hellojob.az/vakansiya/kateqoriya-meneceri-905142,https://www.hellojob.az/resized/companies/3ce1fbbceab4abd6bea8f57de0bad10a-120--resize.webp,Bakı,900.0,1800.0,1350.0
Tort ustası - fiqur ustası,Alba Cakes,"Bakı, Nizami rayonu",Tam-ştat,Digər,1000 - 1500 AZN,16 aprel 2025,16 may 2025,https://www.hellojob.az/vakansiya/tort-ustasi-fiqur-ustasi,https://www.hellojob.az/resized/companies/aabf8cb2a3abbda81f0cbf604f980317-120--resize.webp,Bakı,1000.0,1500.0,1250.0
Pastry chef,Alba Cakes,"Bakı, Nizami rayonu",Tam-ştat,Digər,1500 - 2000 AZN,16 aprel 2025,16 may 2025,https://www.hellojob.az/vakansiya/pastry-chef,https://www.hellojob.az/resized/companies/aabf8cb2a3abbda81f0cbf604f980317-120--resize.webp,Bakı,1500.0,2000.0,1750.0
Sürücü,Alba Cakes,"Bakı, Nizami rayonu",Tam-ştat,Sürücü,1000 - 1200 AZN,16 aprel 2025,16 may 2025,https://www.hellojob.az/vakansiya/surucu-905139,https://www.hellojob.az/resized/companies/aabf8cb2a3abbda81f0cbf604f980317-120--resize.webp,Bakı,1000.0,1200.0,1100.0
Promouter,Azerbaijan Travel Company,"Bakı, Bakı, İçərişəhər",Yarım-ştat,Turizm və mehmanxana işi,400 - 800 AZN,15 aprel 2025,16 may 2025,https://www.hellojob.az/vakansiya/promouter-905137,https://www.hellojob.az/resized/companies/dc06f92dd46f1aeed8a518bec026d725-120--resize.webp,Bakı,400.0,800.0,600.0
Lombard üzrə mütəxəssis,AMB Rahat Kredit Evi,Bakı,Tam-ştat,Kredit mütəxəssisi,500 - 1000 AZN,16 aprel 2025,16 may 2025,https://www.hellojob.az/vakansiya/lombard-uzre-mutexessis-905138,https://www.hellojob.az/resized/companies/573dc95a054a66cd81aa3f3809425df8-120--resize.webp,Bakı,500.0,1000.0,750.0
Google Ads Təcrübə Proqramı,Afea Group,Bakı,Təcrübəçi,Marketinq,1300 AZN,15 aprel 2025,15 may 2025,https://www.hellojob.az/vakansiya/google-ads-tecrube-proqrami,Unknown,Bakı,1300.0,1300.0,1300.0
Mağazada Satıcı,Bəyaz Flora,"Bakı, 28 Koroğlu Rəhimov küçəsi",Tam-ştat,Satış üzrə mütəxəssis,400 - 800 AZN,15 aprel 2025,15 may 2025,https://www.hellojob.az/vakansiya/metbee-dizayneri-905135,Unknown,Bakı,400.0,800.0,600.0
Mətbəə dizayneri,Bəyaz Flora,"Bakı, Fatmayı",Tam-ştat,Qrafik dizayn,700 - 1200 AZN,15 aprel 2025,15 may 2025,https://www.hellojob.az/vakansiya/metbee-dizayneri-905134,Unknown,Bakı,700.0,1200.0,950.0
Brend Nümayəndəsi xanım namizədlər (tütün isitmə sistemi),Around Business Group,Bakı,Yarım-ştat,Satış üzrə mütəxəssis,540 - 900 AZN,15 aprel 2025,15 may 2025,https://www.hellojob.az/vakansiya/brend-numayendesi-xanim-namizedler-tutun-isitme-sistemi,Unknown,Bakı,540.0,900.0,720.0
Bağça müəllimi,MAYA UŞAQ BAĞÇASI,"Bakı, Hesen eliyev Tiblisi prospekti",Tam-ştat,Digər,300 - 350 AZN,15 aprel 2025,15 may 2025,https://www.hellojob.az/vakansiya/bagca-muellimi-905132,Unknown,Bakı,300.0,350.0,325.0
Junior UI/UX Designer,Afea Group,Bakı,Tam-ştat,Dizayn,Razılaşma ilə,15 aprel 2025,15 may 2025,https://www.hellojob.az/vakansiya/junior-uiux-designer,Unknown,Bakı,Unknown,Unknown,Unknown
Sürücü,TAB MMC,"Bakı, Nizami ray. Qara Qarayev pr 102A",Tam-ştat,Sürücü,500 AZN,15 aprel 2025,15 may 2025,https://www.hellojob.az/vakansiya/surucu,Unknown,Bakı,500.0,500.0,500.0
Call-center operator,VEN GROUP MMC,"Bakı, Rəşid Bağırov 33",Tam-ştat,Operator,400 - 800 AZN,15 aprel 2025,15 may 2025,https://www.hellojob.az/vakansiya/call-center-operator-905129,Unknown,Bakı,400.0,800.0,600.0
Менеджер Ресторана (девушки),Restaurants by Emin Agalarov,Bakı,Tam-ştat,Xidmət,Razılaşma ilə,14 aprel 2025,14 may 2025,https://www.hellojob.az/vakansiya/menedzer-restorana-devuski,https://www.hellojob.az/storage/companies/06ccb8ff5519472beb989338237956bc.svg,Bakı,Unknown,Unknown,Unknown
